id,match_id,region,game_mode,elo,version,blue_one,blue_two,blue_three,blue_four,blue_five,red_one,red_two,red_three,red_four,red_five,winning_team
50,NA1_5032348684,NA1,ARAM,UNRANKED,14.13.598.9749,Vex,Ashe,KSante,DrMundo,Neeko,MissFortune,Hecarim,Ezreal,Ahri,Mordekaiser,1
51,NA1_5032342196,NA1,ARAM,SILVER I,14.13.598.9749,Tristana,JarvanIV,Azir,Briar,Vi,MasterYi,Lux,Xerath,Shaco,Blitzcrank,0
52,NA1_5032331341,NA1,ARAM,UNRANKED,14.13.598.9749,Amumu,Quinn,Zyra,Veigar,Vladimir,Anivia,Pantheon,Gragas,Xayah,MissFortune,0
53,NA1_5032315906,NA1,ARAM,UNRANKED,14.13.598.9749,Irelia,Tristana,Malzahar,Alistar,Syndra,Nilah,Renekton,Ziggs,Briar,Diana,1
54,NA1_5031668468,NA1,ARAM,UNRANKED,14.13.598.9749,Zed,Neeko,Warwick,DrMundo,Sion,Velkoz,TwistedFate,Senna,MasterYi,Ashe,0
55,NA1_5030952999,NA1,ARAM,MASTER I,14.13.596.7996,Syndra,Karma,Ezreal,Samira,Azir,TwistedFate,Taliyah,Annie,MonkeyKing,Akali,0
56,NA1_5030450965,NA1,ARAM,UNRANKED,14.13.596.7996,Sett,Azir,Maokai,Ziggs,Swain,Kaisa,Malphite,Lux,Sejuani,Orianna,0
57,NA1_5030336065,NA1,ARAM,UNRANKED,14.13.596.7996,Maokai,JarvanIV,Quinn,Taliyah,Jinx,Illaoi,Kindred,Tristana,Smolder,Draven,0
58,NA1_5030327378,NA1,ARAM,UNRANKED,14.13.596.7996,Senna,MissFortune,Zeri,Ashe,Tryndamere,Vex,Irelia,Rammus,Xayah,Ivern,1
59,NA1_5030325074,NA1,ARAM,UNRANKED,14.13.596.7996,Nocturne,Ezreal,Annie,Xerath,Karma,Leona,MissFortune,Graves,Kaisa,Darius,0
60,NA1_5030312602,NA1,ARAM,PLATINUM III,14.13.596.7996,Trundle,Twitch,Diana,Xayah,Caitlyn,Lux,Tristana,Hwei,Galio,Kayle,0
61,NA1_5035380651,NA1,ARAM,UNRANKED,14.13.598.9749,Olaf,Brand,Caitlyn,Velkoz,Kindred,Ahri,Annie,Chogath,Lucian,Rakan,1
1195,NA1_5035205358,NA1,ARAM,UNRANKED,14.13.598.9749,Mordekaiser,Janna,Kaisa,Shaco,LeeSin,Vi,Renata,Ezreal,Tristana,Leona,1
1217,NA1_5033000258,NA1,ARAM,UNRANKED,14.13.598.9749,Corki,Kassadin,Jinx,Nocturne,Anivia,Lucian,AurelionSol,Nidalee,Zilean,Vladimir,0
1239,NA1_5034245716,NA1,ARAM,UNRANKED,14.13.598.9749,Brand,Trundle,Kalista,Camille,Ezreal,Elise,Aatrox,Vi,Zyra,Lux,0
1255,NA1_5034556687,NA1,CLASSIC,UNRANKED,14.13.598.9749,Aatrox,Jax,Annie,Jhin,Senna,Chogath,Khazix,Quinn,Aphelios,Yuumi,0
1268,NA1_5032979099,NA1,ARAM,UNRANKED,14.13.598.9749,Rumble,Senna,Gragas,Yasuo,Lux,Amumu,Kled,Ahri,Katarina,Ezreal,0
1279,NA1_5032571365,NA1,ARAM,UNRANKED,14.13.598.9749,Leona,Nautilus,Blitzcrank,Diana,Vayne,Khazix,Cassiopeia,Senna,Evelynn,Shyvana,0
1288,NA1_5032909744,NA1,ARAM,UNRANKED,14.13.598.9749,Varus,Sion,Senna,Lissandra,Lucian,Annie,Aatrox,TwistedFate,Hecarim,Renata,0
1297,NA1_5032778787,NA1,ARAM,DIAMOND III,14.13.598.9749,Udyr,Darius,Lux,Nocturne,Yasuo,Kindred,Graves,Swain,Kayle,Morgana,0
70,NA1_5033106631,NA1,ARAM,UNRANKED,14.13.598.9749,Yone,Naafiri,Galio,Ekko,Nautilus,Gangplank,KogMaw,Lux,Warwick,Graves,0
71,NA1_5033102747,NA1,ARAM,GOLD IV,14.13.598.9749,Jax,Bard,Sejuani,Draven,Braum,Katarina,Evelynn,Azir,Nautilus,Ashe,0
72,NA1_5033087309,NA1,ARAM,UNRANKED,14.13.598.9749,Samira,Blitzcrank,Hecarim,Xayah,Vex,Gnar,Senna,KSante,Vladimir,Rakan,1
73,NA1_5033078980,NA1,ARAM,UNRANKED,14.13.598.9749,Aatrox,Ornn,Kindred,Nami,Akali,Nidalee,Senna,Sylas,Soraka,Veigar,0
74,NA1_5033062450,NA1,ARAM,PLATINUM IV,14.13.598.9749,Lux,Renekton,Pyke,Kayle,Ziggs,Ashe,Zed,AurelionSol,Lillia,Jax,1
75,NA1_5033059828,NA1,ARAM,UNRANKED,14.13.598.9749,Smolder,Orianna,Jhin,Jayce,Xerath,Riven,Vex,Akali,Ryze,Ezreal,1
76,NA1_5033043356,NA1,ARAM,UNRANKED,14.13.598.9749,AurelionSol,Maokai,Graves,Xerath,Renata,Nunu,Lucian,Lulu,Lux,Kassadin,0
77,NA1_5033036122,NA1,ARAM,UNRANKED,14.13.598.9749,Illaoi,Tristana,Sona,Mordekaiser,Orianna,Yorick,Kayn,Irelia,Nautilus,Kalista,0
78,NA1_5033024012,NA1,ARAM,UNRANKED,14.13.598.9749,TahmKench,Qiyana,Lux,Thresh,Veigar,Fiora,Xerath,Jinx,Karma,Vladimir,1
79,NA1_5033011174,NA1,ARAM,UNRANKED,14.13.598.9749,Gnar,Seraphine,Orianna,Yone,Cassiopeia,Irelia,Yuumi,Ryze,Kled,Karthus,1
80,NA1_5032996525,NA1,ARAM,UNRANKED,14.13.598.9749,Zoe,Brand,Irelia,Cassiopeia,Kaisa,Sejuani,Kled,Nilah,Xayah,Viktor,1
81,NA1_5035397890,NA1,ARAM,BRONZE III,14.13.598.9749,Poppy,Riven,Zyra,Twitch,Malphite,Brand,Yone,Rell,Nidalee,Velkoz,0
82,NA1_5035380594,NA1,ARAM,BRONZE III,14.13.598.9749,Ziggs,Swain,Draven,DrMundo,Heimerdinger,Elise,Zilean,Janna,Karma,Hwei,0
83,NA1_5035378924,NA1,ARAM,PLATINUM II,14.13.598.9749,Caitlyn,Galio,Velkoz,MasterYi,Thresh,Maokai,Kaisa,Nilah,Veigar,Swain,0
1304,NA1_5032581972,NA1,ARAM,UNRANKED,14.13.598.9749,Urgot,Twitch,Nasus,Heimerdinger,Shen,Ezreal,Amumu,Renata,MissFortune,Samira,1
85,NA1_5035194853,NA1,ARAM,UNRANKED,14.13.598.9749,Fiora,Riven,Ziggs,Zilean,TwistedFate,Xerath,Ashe,Kled,Milio,Taliyah,1
86,NA1_5035182217,NA1,ARAM,UNRANKED,14.13.598.9749,Malphite,Renekton,Khazix,Garen,Malzahar,Zeri,Olaf,Yone,Zoe,Karthus,1
87,NA1_5034608583,NA1,ARAM,UNRANKED,14.13.598.9749,Kindred,Malphite,Ashe,Elise,Zeri,Brand,Rumble,Talon,Karthus,Ekko,1
88,NA1_5034607948,NA1,ARAM,UNRANKED,14.13.598.9749,Illaoi,Sett,Trundle,Kassadin,Naafiri,Orianna,Aatrox,Katarina,Viego,Quinn,1
89,NA1_5034597424,NA1,ARAM,BRONZE III,14.13.598.9749,TahmKench,Veigar,Nautilus,AurelionSol,Aphelios,Blitzcrank,MissFortune,Kindred,Smolder,Udyr,1
90,NA1_5034594918,NA1,ARAM,UNRANKED,14.13.598.9749,Akshan,Milio,Zilean,Tristana,Kassadin,XinZhao,Nidalee,Katarina,Quinn,Mordekaiser,0
91,NA1_5034338232,NA1,ARAM,BRONZE III,14.13.598.9749,Zilean,Seraphine,Diana,Samira,Leona,Aatrox,Caitlyn,Ashe,Ezreal,Neeko,0
92,NA1_5034231586,NA1,ARAM,GOLD III,14.13.598.9749,Lux,Vex,Karma,Jayce,Vayne,Nidalee,Sivir,Rumble,Draven,Soraka,0
93,NA1_5034221597,NA1,ARAM,UNRANKED,14.13.598.9749,Warwick,Jhin,FiddleSticks,LeeSin,Malphite,Mordekaiser,Yasuo,Draven,Anivia,Vi,0
94,NA1_5030493926,NA1,ARAM,BRONZE II,14.13.596.7996,Vladimir,DrMundo,Corki,Caitlyn,Urgot,TahmKench,Malzahar,Leona,Xayah,Diana,1
95,NA1_5030478564,NA1,ARAM,SILVER IV,14.13.596.7996,Maokai,Velkoz,Ahri,Sona,Nautilus,MonkeyKing,Graves,Zed,Khazix,Thresh,1
96,NA1_5029804830,NA1,ARAM,UNRANKED,14.13.596.7996,Nunu,Veigar,Katarina,AurelionSol,Skarner,Vladimir,Jax,Amumu,Warwick,Zeri,0
97,NA1_5029787221,NA1,ARAM,UNRANKED,14.13.596.7996,Lillia,Zeri,Malzahar,Yuumi,LeeSin,Karma,JarvanIV,KSante,Tristana,Smolder,0
98,NA1_5029778157,NA1,ARAM,GOLD III,14.13.596.7996,Kayn,Ahri,Vayne,Sejuani,Udyr,Pantheon,KogMaw,Xerath,Lulu,Jinx,1
99,NA1_5029770970,NA1,ARAM,UNRANKED,14.13.596.7996,Urgot,Twitch,Brand,Nami,Belveth,TwistedFate,Lucian,Yorick,Amumu,Fizz,1
100,NA1_5028631341,NA1,CLASSIC,BRONZE III,14.13.596.7996,Darius,Shyvana,Malzahar,MissFortune,Seraphine,Brand,FiddleSticks,Talon,Samira,KogMaw,1
1311,NA1_5033444392,NA1,ARAM,UNRANKED,14.13.598.9749,Braum,Yone,Akali,Caitlyn,Twitch,Smolder,Rengar,Malzahar,Pantheon,Sylas,1
102,NA1_5034975229,NA1,ARAM,UNRANKED,14.13.598.9749,XinZhao,Brand,Karthus,Janna,Orianna,JarvanIV,Jhin,Morgana,Twitch,Soraka,0
103,NA1_5034790316,NA1,ARAM,UNRANKED,14.13.598.9749,Warwick,Sylas,Syndra,Galio,Jhin,Varus,Graves,Mordekaiser,Velkoz,Orianna,0
104,NA1_5034720897,NA1,ARAM,BRONZE I,14.13.598.9749,Shaco,Leblanc,Smolder,Sivir,Nautilus,Syndra,Corki,Sylas,Ahri,Velkoz,1
105,NA1_5034282672,NA1,ARAM,GOLD IV,14.13.598.9749,Viego,Blitzcrank,MissFortune,Karthus,Rakan,Aatrox,Zac,Sona,Taric,Graves,1
106,NA1_5034191851,NA1,ARAM,UNRANKED,14.13.598.9749,Pantheon,Qiyana,Graves,Nasus,Sejuani,Ryze,KogMaw,Zeri,Ekko,Hwei,1
107,NA1_5033277236,NA1,ARAM,UNRANKED,14.13.598.9749,Jinx,Chogath,Ahri,Fizz,Viktor,Twitch,Illaoi,Bard,Senna,FiddleSticks,0
108,NA1_5032900409,NA1,ARAM,EMERALD I,14.13.598.9749,Teemo,XinZhao,Aatrox,Zed,Azir,Yasuo,KogMaw,Veigar,Leblanc,Chogath,1
109,NA1_5032839564,NA1,ARAM,UNRANKED,14.13.598.9749,Riven,Karthus,FiddleSticks,Lillia,Vladimir,Singed,Gragas,Brand,Xayah,Vayne,0
110,NA1_5032446818,NA1,ARAM,UNRANKED,14.13.598.9749,Brand,Jinx,Velkoz,Heimerdinger,Graves,Galio,Aphelios,Qiyana,Xerath,Lucian,1
111,NA1_5032195890,NA1,ARAM,UNRANKED,14.13.598.9749,Viego,Pantheon,Ekko,Xayah,Orianna,Anivia,Yone,FiddleSticks,Jinx,Rakan,1
112,NA1_5032085027,NA1,ARAM,UNRANKED,14.13.598.9749,Kennen,Braum,Zeri,Vex,Syndra,Akali,Ekko,Twitch,Amumu,Xerath,0
113,NA1_5032052770,NA1,ARAM,UNRANKED,14.13.598.9749,Tristana,Nami,Nocturne,AurelionSol,MasterYi,Zed,Bard,Aphelios,Amumu,Yone,0
114,NA1_5031899315,NA1,ARAM,UNRANKED,14.13.598.9749,Smolder,Kindred,Brand,Twitch,Ahri,Xerath,Janna,Quinn,Sejuani,Karthus,1
115,NA1_5031104027,NA1,ARAM,UNRANKED,14.13.596.7996,Mordekaiser,Shen,Syndra,Cassiopeia,Teemo,Swain,Ziggs,FiddleSticks,Thresh,Kayn,0
116,NA1_5030985972,NA1,ARAM,UNRANKED,14.13.596.7996,Taric,Nilah,Samira,Ekko,Vex,Ezreal,Karthus,Yone,Graves,Lulu,1
117,NA1_5030973342,NA1,ARAM,UNRANKED,14.13.596.7996,Hwei,Khazix,Kalista,MissFortune,Viktor,Velkoz,Graves,Garen,Zed,Mordekaiser,1
118,NA1_4994269946,NA1,ARAM,UNRANKED,14.9.580.2108,Kindred,Gangplank,Lissandra,Ornn,Smolder,Leona,Seraphine,Ahri,Xayah,Lucian,0
119,NA1_5035458822,NA1,ARAM,UNRANKED,14.13.598.9749,Jinx,Soraka,XinZhao,Briar,Elise,Brand,Blitzcrank,Kayle,Kled,Anivia,1
120,NA1_5035440623,NA1,ARAM,UNRANKED,14.13.598.9749,Zed,Lulu,Mordekaiser,Ekko,Veigar,Senna,Graves,Jayce,Rumble,Kennen,1
121,NA1_5035433078,NA1,ARAM,BRONZE IV,14.13.598.9749,Zoe,Graves,Galio,Vayne,Veigar,Nami,RekSai,Zyra,Jhin,Ziggs,1
122,NA1_5035410549,NA1,ARAM,UNRANKED,14.13.598.9749,Malphite,MasterYi,Yone,Volibear,Orianna,Malzahar,Neeko,Teemo,Ahri,Thresh,0
123,NA1_5035408797,NA1,ARAM,UNRANKED,14.13.598.9749,Syndra,Senna,Alistar,Nidalee,Janna,Taliyah,Soraka,LeeSin,Quinn,JarvanIV,0
124,NA1_5035394704,NA1,ARAM,UNRANKED,14.13.598.9749,Renekton,Shaco,Elise,MissFortune,Swain,Galio,Urgot,Tristana,Blitzcrank,Senna,1
125,NA1_5035388386,NA1,ARAM,UNRANKED,14.13.598.9749,Varus,Maokai,TwistedFate,Yuumi,Morgana,Jhin,MasterYi,Ziggs,Ornn,Rakan,1
126,NA1_5035376337,NA1,ARAM,UNRANKED,14.13.598.9749,Soraka,Nilah,Sejuani,Kalista,Xerath,Senna,TahmKench,Nautilus,Maokai,Lillia,0
1196,NA1_5035197197,NA1,ARAM,UNRANKED,14.13.598.9749,Nautilus,Kaisa,KogMaw,AurelionSol,Veigar,Diana,Fiora,Renekton,Senna,Brand,0
128,NA1_5035353662,NA1,ARAM,UNRANKED,14.13.598.9749,Ekko,Sion,TwistedFate,Ashe,Rumble,Kindred,Hwei,Chogath,Janna,MasterYi,1
129,NA1_5034713600,NA1,ARAM,UNRANKED,14.13.598.9749,Lissandra,Twitch,Swain,Qiyana,Sivir,Jhin,Smolder,Diana,Kaisa,FiddleSticks,1
130,NA1_5034712873,NA1,ARAM,EMERALD II,14.13.598.9749,Kennen,Morgana,Soraka,Xayah,Lucian,Heimerdinger,Nami,Zeri,Graves,Singed,0
131,NA1_5034699963,NA1,ARAM,UNRANKED,14.13.598.9749,Varus,Veigar,Karma,Pyke,Vladimir,MissFortune,Ezreal,Syndra,Singed,Seraphine,1
132,NA1_5034676724,NA1,ARAM,UNRANKED,14.13.598.9749,Twitch,Ekko,Mordekaiser,DrMundo,Orianna,Milio,MonkeyKing,Leblanc,Malzahar,Lillia,0
133,NA1_5034678754,NA1,ARAM,UNRANKED,14.13.598.9749,Lux,Illaoi,Jayce,Galio,Zyra,Nunu,Naafiri,Chogath,Taliyah,Jinx,0
134,NA1_5034667533,NA1,ARAM,UNRANKED,14.13.598.9749,Lux,Nunu,MissFortune,Thresh,Yasuo,Xerath,Volibear,TwistedFate,Zilean,Khazix,1
135,NA1_5034667847,NA1,ARAM,UNRANKED,14.13.598.9749,LeeSin,Bard,Khazix,Chogath,Tristana,Ornn,Rumble,Corki,Ryze,Pantheon,0
136,NA1_5034656523,NA1,ARAM,UNRANKED,14.13.598.9749,Akshan,Vayne,Vladimir,Soraka,Blitzcrank,Annie,Rengar,Ashe,Ekko,Pyke,1
137,NA1_5034658870,NA1,ARAM,UNRANKED,14.13.598.9749,Viego,Samira,Corki,Karthus,Zeri,Malphite,Vex,Soraka,Vladimir,Morgana,1
138,NA1_5034632557,NA1,ARAM,UNRANKED,14.13.598.9749,Hwei,Volibear,Ezreal,Karma,Jayce,Jhin,Ahri,Lulu,Milio,Garen,0
139,NA1_5035415673,NA1,ARAM,UNRANKED,14.13.598.9749,Garen,Urgot,Varus,Nunu,Amumu,FiddleSticks,Janna,Kalista,Ornn,TahmKench,1
140,NA1_5035375719,NA1,ARAM,UNRANKED,14.13.598.9749,Rengar,Aatrox,Camille,Ashe,Leblanc,Lucian,Hwei,Nidalee,Xayah,Senna,1
1218,NA1_5032983433,NA1,ARAM,UNRANKED,14.13.598.9749,Karthus,Gangplank,Leona,Jax,TwistedFate,Tryndamere,Kennen,Vi,Katarina,Neeko,1
142,NA1_5034908714,NA1,ARAM,UNRANKED,14.13.598.9749,Lissandra,Draven,Caitlyn,Zyra,Vayne,Corki,Ahri,Zilean,Maokai,Heimerdinger,1
143,NA1_5033758207,NA1,ARAM,SILVER I,14.13.598.9749,Jax,Zac,Lucian,Taliyah,Heimerdinger,Soraka,JarvanIV,Sona,Kaisa,Zoe,0
144,NA1_5033493158,NA1,ARAM,SILVER I,14.13.598.9749,Graves,Ezreal,Velkoz,Corki,JarvanIV,Shaco,Rammus,Tristana,Kayle,Khazix,0
145,NA1_5033483212,NA1,ARAM,EMERALD IV,14.13.598.9749,TwistedFate,Malzahar,Braum,Anivia,Nidalee,Veigar,Nami,Zeri,Morgana,Kassadin,0
146,NA1_5033475294,NA1,ARAM,UNRANKED,14.13.598.9749,Shen,Nami,Vayne,Zed,Kaisa,MissFortune,Teemo,Gwen,Rammus,Jhin,0
147,NA1_5032439926,NA1,ARAM,UNRANKED,14.13.598.9749,Ezreal,Sett,Milio,Skarner,Sivir,Lux,Pantheon,Thresh,Nocturne,Janna,1
148,NA1_5032416584,NA1,ARAM,UNRANKED,14.13.598.9749,Belveth,Karma,TwistedFate,Yasuo,Swain,MonkeyKing,Nautilus,Taric,FiddleSticks,Vayne,1
149,NA1_5032413831,NA1,ARAM,UNRANKED,14.13.598.9749,Poppy,Kennen,Malzahar,Kled,Jinx,Heimerdinger,Samira,Mordekaiser,Lux,Zac,0
150,NA1_5032392280,NA1,ARAM,DIAMOND I,14.13.598.9749,Galio,Maokai,Jhin,Malzahar,Zilean,Corki,Hwei,Illaoi,Bard,Darius,1
151,NA1_5032384271,NA1,ARAM,UNRANKED,14.13.598.9749,Jinx,Zilean,Galio,Kennen,Syndra,MissFortune,Lillia,Lucian,Smolder,Lulu,0
152,NA1_5032291165,NA1,ARAM,SILVER II,14.13.598.9749,Kalista,Fizz,Leona,Neeko,Brand,Azir,Riven,DrMundo,Garen,Viego,1
153,NA1_5032286903,NA1,ARAM,UNRANKED,14.13.598.9749,Sylas,Lissandra,Seraphine,Chogath,Galio,Ekko,Heimerdinger,MissFortune,Zac,Ryze,1
154,NA1_5032271721,NA1,ARAM,UNRANKED,14.13.598.9749,Braum,Aphelios,Orianna,Smolder,Twitch,Morgana,Jayce,Lissandra,Tryndamere,Rakan,1
155,NA1_5031782835,NA1,ARAM,UNRANKED,14.13.598.9749,Irelia,Singed,Ornn,Yone,Ziggs,Taliyah,Nunu,Twitch,Xayah,Sylas,0
156,NA1_5031769962,NA1,ARAM,UNRANKED,14.13.598.9749,Gwen,Varus,Senna,Galio,Nasus,Gangplank,FiddleSticks,Milio,Xayah,AurelionSol,1
